Code,Offense,FMV,Class,Type,Attempted,Notes
'10-131(J)(3),Unlawful to possess a deceptively colored firearm,M,NA,Weapons,F,
'135.50,Custodial interference in the first degree,F,E,Misc,F,
'165.08,Unauthorized use of a vehicle in the first degree,F,D,Vehicle,F,
'175.25,Tampering with public recrods in the first degree,F,D,Misc,F,
'VTL 1192.4,Driving while ability impaired with drugs,NA,NA,Vehicle,F,
'FCW,NA,NA,NA,Misc,F,
'120.50,Stalking in the third degree,M,A,Misc,F,
'270.25,Unlawful fleeing a police officer in a motor vehicle in the third degree,M,A,Vehicle,F,
'1192.2A,Aggraved driving while intoxicated,NA,NA,Vehicle,F,
'205.10,Escape in the second degree,F,E,Misc,F,
'110-130.65A,Aggravated sexual abuse in the fourth degree,M,A,Sex Offense,T,
'VTL 1192F,NA,NA,NA,Vehicle,F,
'1192(4),Driving while ability impaired with drugs,NA,NA,Vehicle,F,
'110-120.06,Gang assault in the second degree,F,C,Violent,T,
'VTL 319I,Need for automobile insurance,NA,NA,Vehicle,F,
'110-220.43,Criminal sale of a controlled substance in the first degree,F,A-I,Narcotics,T,
'490.50,Criminal use of a chemical weapon or biological weapon in second degree,F,A-II,Weapons,F,
'255.25,Incest in the thrid degree,F,E,Sex Offense,F,
'150.05,Arson in the fourth degree,F,E,Misc,F,
'490.40,Criminal possession of a chemical weapon or biological weapon in the second degree,F,B,Weapons,F,
'235.05,Obscenity in the third degree,M,A,Sex Offense,F,
'190.78,Identity theft in the third degree,M,A,Misc,F,
'VTL 1190,NA,NA,NA,Vehicle,F,
'110-150.01,Arson in the fifth degree,M,B,Misc,T,
'110-165.50,Criminal possession of stolen propety in the third degree,F,E,Property,T,
'165.25,Jostling,M,A,Misc,F,
'110-125.20,Manslaughter in the first degree,F,C,Violent,T,
'145.40,Tampering with a consumer product in the second degree,M,A,Misc,F,
'511(3)(I),Aggravated unlicensed operation of a motor vehicle in the first degree,F,E,Vehicle,F,
'ROW,NA,NA,NA,Misc,F,
'265.16,Criminal sale of a firearm to a minor,F,C,Weapons,F,
'110-220.09,Criminal possession of a controlled substance in the fourth degree,F,D,Narcotics,T,
'230.32,Promoting prostitution in the first degree,F,B,Sex Offense,F,
'221.30,Criminal possession of marihuana in the first degree,F,C,Narcotics,F,
'220.65,Criminal sale of a prescription for a controlled substance or of a controlled substance by a practitioner or pharmacist,F,C,Narcotics,F,
'110-190.80,Identity theft in the first degree,F,D,Misc,T,
'110-170.10,Forgery in the second degree,F,E,Misc,T,
'130.90,Facilitating a Sex Offense with a controlled substance,F,D,Sex Offense,F,
'220.34,Criminal sale of a controlled substance in the fourth degree,F,C,Narcotics,F,
'221.10,Criminal possession of marihuana in the fifth degree.,M,B,Narcotics,F,
'110-120.02,Reckless assault of a child,F,E,Violent,T,
'240.50,Falsely reporting an incident in the third degree,M,A,Misc,F,
'215.20,Bribe receiving by a juror,F,D,Misc,F,
'240.61,Placing a false bomb or hazardous substance in the second degree,F,E,Misc,F,
'VTL 1192A,NA,NA,NA,Vehicle,F,
'265.19,Aggravated criminal possssion of a weapon,F,C,Weapons,F,
'110-215.17,Intimidating a victim or witness in the first degree,F,C,Misc,T,
'511-A(4), facilitating aggravated unlicensed  operation,,,,,
"'  of  a motor vehicle in the first degree """,F,E,Vehicle,F,,
'VTL 402,Need a proper license plate,NA,NA,Vehicle,F,
'VTL 777.77,NA,NA,NA,Vehicle,F,
'140.20SM,Burgraly in the third degree,F,D,Property,F,
'205.20,Promoting prison contraband in the second degree,M,A,Misc,F,
'205.55,Hindering prosecution in the third degree,M,A,Misc,F,
'250.45,Unlawful sureveillance in the second degree,F,E,Misc,F,
'165.09,Auto stripping in the third degree,M,A,Vehicle,F,
'353-A(1),Aggravated cruelty to animals,F,NA,Misc,F,
'200,Bribery in the third degree,F,D,Misc,F,
'230.25,Promoting prostiution in the third degree,F,D,Sex Offense,F,
'135.55,Substitution of children,F,E,Misc,F,
'165.16,Unauthorized sale of certain transportation services,M,B,Misc,F,
'120.12,Aggravated assault upon a police officer,F,E,Violent,F,
'10-131(G)(1),"Unlawful Sale, Possession, or Use of an Imitation Pistol",M,NA,Weapons,F,
'10-131(I)(2),Unlawful dealing of firearms and ammunition,M,NA,Weapons,F,
'110-265.13,Criminal sale of a firearm in the first degree,F,C,Weapons,T,
'205.05,Escape in the third degree,M,A,Misc,F,
'512,VTL: driving on a suspended registaion,M,NA,Vehicle,F,
'110-240.30,Aggravated harassment in the second degree,M,B,Misc,T,
'220.45,Criminally possessing a hypodermic instrument,M,A,Misc,F,
'240.21,"Disurption or disturbance of a religious service, funeral, burial or memorial service",M,A,Misc,F,
'215.11,Tampering with a witness in the third degree,F,E,Misc,F,
'265.25,Certain wounds to be reported,M,A,Misc,F,
'115,Criminal facilitation in the fourth degree,M,A,Misc,F,
'170.65,Forgery of a vehicle identification number,F,E,Vehicle,F,
'VTL 600A,Leaving the scene of an incident without reporting,M,B,Vehicle,F,Depends on severity of accident
'10-125,Consumption of alcohol on streets prohibited,NA,NA,Misc,F,
'110-160.15H,Robbery in the first degree,F,C,Violent,T,
'260.25,Endangering the welfare of an incompetent or physically disabled person first degree,F,E,Misc,F,
'270,Unlawfully dealing with fireworks and dangerous fireworks,M,B,Misc,F,
'240.30H,Aggravated harassment in the second degree,M,A,Misc,F,
'110-220.05,NA,NA,NA,Misc,T,
'110-145.00,Criminal Mischief in the fourth degree,M,B,Misc,T,
'140.17,Criminal trespass in the first degree,F,D,Misc,F,
'110-155.25,Petit larceny,M,B,Property,T,
'110-215.50,Criminal contempt in the second degree,M,A,Misc,T,
'110-230.34,Sex Trafficking,F,C,Sex Offense,T,
'215.05,Bribe receiving by a witness,F,D,Misc,F,
'145.60,Making grafffiti,M,A,Misc,F,
'VTL 1192.2A,Aggraved driving while intoxicated,NA,NA,Vehicle,F,
'221.05,Unlawful possession of marihuana,V,V,Narcotics,F,
'210.15,Perjury in the first degree,F,E,Misc,F,
'VTL 1193,NA,NA,NA,Vehicle,F,
'110-235.22,Disseminating indecent material to minors in the first degree,F,D,Sex Offense,T,
'263.11,Possessing an obscene sexual performance by a child,F,E,Sex Offense,F,
'110-120.25,Reckless endangerment in the first degree,F,E,Misc,T,
'120.00H,Assault in the third degree,M,A,Violent,F,
'110-120.60,Stalking in the first degree,F,E,Misc,T,
'490.10,Soliciting or providing support for an act of terrorism in the second degree. ,F,D,Misc,F,
'195,Official misconduct.,M,A,Misc,F,
'190.26,Criminal impersonation in the first degree.,F,E,Misc,F,
'135.45,Custodial interference in the second degree,M,A,Misc,F,
'110-263.05,Use of a child in a sexual performance,F,D,Sex Offense,T,
'215.10,Tampering with a witness in the fourth degree,M,A,Misc,F,
'319(2),NA,NA,NA,Vehicle,F,
'VTL 426,making false statement; stolen vehicles,F,E,Vehicle,F,
'221.20,Criminal possession of marihuana in the third degree,F,E,Narcotics,F,
'265.10B,Criminal possession of a firearm,F,E,Weapons,F,
'240.63,"Placing a false bomb or hazardous substance in a sports stadium or arena, mass transportation facility or enclosed shopping mall",F,D,Misc,F,
'140.20H,Burglary in the third degree,F,D,Property,F,
'145.10H,Criminal mischief in the second degree,F,D,Misc,F,
'1180(B),Speeding,NA,NA,Vehicle,F,
'509(6),Allowing another to use license,NA,NA,Vehicle,F,
'205.15,Escape in the first degree,F,D,Misc,F,
'240.62,Placing  a  false bomb or hazardous substance in the first degree,F,D,Misc,F,
'110-120.05H,Assault in the second degree,F,E,Violent,T,
'221.15,Criminal possession of marihuana in the fourth degree,M,A,Narcotics,F,
'240.46,Criminal nuisance in the first degree,F,E,Misc,F,
'120.16,Hazing in the first degree,M,A,Misc,F,
'230.04,Patronizing a person for prostitution in the third degree,M,A,Misc,F,
'10-133(B),possession of knife in public place that is 4 inches or more,V,NA,Misc,F,
'170.05,Forgery in the third degree,M,A,Misc,F,
'240.25,Harassment in the first degree,M,B,Misc,F,
'230.05,Patronizing a person for prostitution in the second degree,F,E,Misc,F,
'110-125.22,Aggravated manslaughter in the first degree,F,C,Violent,T,
'215.13,Tampering with a witness in the first degree,F,B,Misc,F,
'205.65,Hindering prosecution in the first degree,F,D,Misc,F,
'120.45,Stalking in the fourth degree,M,B,Misc,F,
'205.17,Absconding from temporary release,F,E,Misc,F,
'20-453,NA,NA,NA,Misc,F,
'100.10,Criminal solicitation in the second degree,F,D,Misc,F,
'110-130.40,Criminal sexual act in the third degree,M,A,Sex Offense,T,
'265.05,Unlawful possession of weapons by persons under sixteen,NA,NA,Weapons,F,Juvenile delinquent
'VTL 1193-2B1A,NA,NA,NA,Vehicle,F,
'VTL 1192.3A,Driving while intoxicated,NA,NA,Vehicle,F,
'110-155.40,Grand larceny in the second degree,F,D,Property,T,
'175.30,Offering a false instrument for filing in the second degree,M,A,Misc,F,
'400,NA,NA,NA,Misc,F,
'215,NA,NA,NA,Misc,F,
'509(1)-A,NA,NA,NA,Misc,F,
'165.71,Trademark counterfeiting in the third degree,M,A,Misc,F,
'240.60,Falsely reporting an incident in the first degree,F,D,Misc,F,
'470.10,Money laundering in the third degree,F,D,Misc,F,
'110-121.11,Criminal obstruction of breathing or blood circulation,M,B,Violent,T,
'110-120.00H,Assault in the third degree,M,B,Violent,T,
'110-105.10,Conspiracy in the fourth degree,M,A,Misc,T,
'470.05,Money laundering in the fourth degree,F,E,Misc,F,
'230.20,Promoting prostitution in the fourth degree,M,A,Misc,F,
'175.10,Falsifying business records in the first degree,F,E,Misc,F,
'176.10,Insurance fraud in the fifth degree,M,A,Misc,F,
'145.15,Criminal tampering in the second degree,M,A,Misc,F,
'VTL 1180,Speeding,NA,NA,Vehicle,F,
'155.35H,Grand larceny in the third degree,F,D,Property,F,
'110-165.45,Criminal possession of stolen property in the fourth degree ,M,A,Property,T,
'225.05,  Promoting gambling in the second degree.,M,A,Misc,F,
'215.60,Criminal contempt of the legislature,M,A,Misc,F,
'10-131(H),Carying or possessing a loaded rifle or shotgun,M,NA,Weapons,F,
'VTL 1163,Turning Movements and Required Signals,NA,NA,Vehicle,F,
'156.10,Computer tresspass,F,E,Misc,F,
'165.11,Auto stripping in the first degree,F,D,Misc,F,
'125.13,Vehicular manslaughter in the first degree,F,C,Violent,F,
'110-205.55,Hindering prosecution in the third degree,M,B,Misc,T,
'110-215.52,Aggravated criminal contempt,F,E,Misc,T,
'120.05H,Assault in the second degree,F,D,Violent,F,
'190.65,Scheme to defraud in the first degree,F,E,Misc,F,
'120.7,Luring a Child,F,E,Misc,F,
'220.05,NA,NA,NA,Misc,F,
'10-131(E),Tear gas; sale or possession of ,NA,NA,Weapons,F,
'470.20,Money laundering in the first degree,F,B,Misc,F,
'240.70,Criminal interference with health care services or religious worship in second degree,M,A,Misc,F,
'240.05,Riot in the second degree,M,A ,Misc,F,
'240.37,Loitering for the purpose of engaging in a prostiution offense,M,A,Sex Offense,F,
'110-460.20,Enterprise corruption,F,C,Misc,T,
'225.10,Promoting gambling in the first degree,F,E,Misc,F,
'485.05,Hate Crime,NA,NA,Misc,F,
'110-170.15,Forgery in the first degree,F,D,Misc,T,
'1192.4A,Driving while ability impaired by drugs,NA,NA,Vehicle,F,
'140.25SM,Burglary in the second degree,F,C,Property,F,
'110-265.09,Criminal use of a firearm in the first degree,F,C,Weapons,T,
'165.72,Trademark counterfeiting in the second degree,F,E,Misc,F,
'170.45,Criminal simulation,M,A,Misc,F,
'110-265.04,Criminal sale of a dangerous weapon in the first degree,F,C,Weapons,T,
'110-220.31,Criminal sale of a controlled substance in the fifth degree,F,E,Narcotics,T,
'200.04,Bribery in the first degree,F,B,Misc,F,
'210.45,Making a punishable false written statement,M,A,Misc,F,
'VTL 1192.4A,Driving while ability impaired by drugs,NA,NA,Vehicle,F,
'110-170.30,Criminal possession of a forged instrument in the first degree,F,D,Misc,T,
'110-130.70,Aggravated sexual abuse in the first degree,F,C,Sex Offense,T,
'225.30,Possession of a gambling device,M,A,Misc,F,
'205.60,Hindering prosecution in the second degree,F,E,Misc,F,
'VTL 1220B,Unlawful solicitation of ground transportation services at an airport.,M,B,Misc,F,
'110-155.42,Grand larceny in the first degree,F,C,Property,T,
'250.60,Dissemination of an unlawful surveillance image in the first degree,F,E,Misc,F,
'177.25,Health care fraud in the first degree,F,B,Misc,F,
'165.30,Fraudlent accosting,M,A,Misc,F,
'140.25H,Burglary in the second degree,F,C,Property,F,
'230,Prostitution,M,B,Sex Offense,F,
'110-210.15,Perjury in the first degree,M,A,Misc,T,
'240.73,Aggravated interference with health care services in the first degree,F,C,Misc,F,
'110-105.13,Conspiracy in the third degree,F,E,Misc,T,
'110-220.34,Criminal sale of a controlled substance in the fourth degree,F,D,Narcotics,T,
'470.15,Money laundering in the second degree,F,C,Misc,F,
'VOCD,NA,NA,NA,Misc,F,
'509,NA,NA,NA,Misc,F,
'110-230.30,Promoting prostitution in the second degree,F,D,Sex Offense,T,
'235.22,Disseminating indecent material to minors in the first degree,F,D,Sex Offense,F,
'VTL 1192.3C,Driving while intoxicated,NA,NA,Vehicle,F,
'220.71,Criminal possession of methamphetamine manufacturing material in first degree,F,E,Narcotics,F,
'176.20,Insurance fraud in the third degree,F,D,Misc,F,
'110-200.00,Bribery in the third degree,F,E,Misc,T,
'170.70,Illegal possession of a vehicle identification number ,F,E,Vehicle,F,
'110-165.05,Unauthorized use of a vehicle in the third degree,M,B,Misc,T,
'110-230.20,Promoting prostitution in the fourth degree,M,B,Sex Offense,T,
'490.37,Criminal possession of a chemical weapon or biological weapon in the third degree,F,C,Weapons,F,
'115.05,Criminal facilitation in the second degree,F,C,Misc,F,
'VTL 375, adequate equiptment in cars,NA,NA,Vehicle,F,
'110-190.79,Identity theft in the second degree,M,A,Misc,T,
'VTL 1227,Consumption or Possession of Alcoholic Beverages in Certain Motor Vehicles,NA,NA,Vehicle,F,
'190.40,Criminal usury in the second degree,F,E,Misc,F,
'270.05,Unlawfully possessing or selling noxious material,M,B,Weapons,F,
'190.85,Unlawful possession of a skimmer device in the second degree,M,A,Misc,F,
'VTL 1192M,NA,NA,NA,Vehicle,F,
'110-170.40,Criminal possession of forgery devices,F,E,Misc,T,
'VTL 888.88,NA,NA,NA,Vehicle,F,
'600(1)(A),Leaving Scene of an Incident Without Reporting- Property Damage,NA,NA,Vehicle,F,
'110-260.10,Endangering the welfare of a child,M,B,Misc,T,
'VTL 1192I,NA,NA,NA,Vehicle,F,
'110-270.25,Unlawful fleeing a police officer in a motor vehicle in the third,M,B,Misc,T,
'110-220.03,Criminal possession of a controlled substance in the seventh degree,M,B,Misc,T,
'VTL 1111,Traffic-control Signal Indications,NA,NA,Vehicle,F,
'110-130.66,Aggravated sexual abuse in the third degree,F,D,Sex Offense,T,
'187.25,Residential mortgage fraud in the first degree,F,B,Misc,F,
'215.16,Intimidating a victim or witness in the second degree,F,D,Misc,F,
'221.45,Criminal sale of marihuana in the third degree,F,E,Narcotics,F,
'INS,NA,NA,NA,Misc,F,
'176.25,Insurance fraud in the second degree,F,C,Misc,F,
'110-125.15,Manslaughter in the second degree,F,D,Violent,T,
'110-190.80A,Aggravated identity theft,F,E,Misc,T,
'110-120.14,Meancing in the second degree,M,B,Misc,T,
'110-105.15,Conspiracy in the second degree,F,C,Misc,T,
'PHL 000.00,NA,NA,NA,Public Health,F,
'190.60,Scheme to defraud in the second degree,M,A,Misc,F,
'135.60,Coercion in the third degree,M,A,Misc,F,
'PHL 999.99,NA,NA,NA,Public Health,F,
'110-220.18,Criminal possession of a controlled substance in the second degree,F,B,Narcotics,T,
'110-165.52,Criminal possession of stolen property in the second degree,F,D,Property,T,
'GBL 777.77,NA,NA,NA,General Business,F,
'PHL 666.66,NA,NA,NA,Public Health,F,
'110-135.65,Coercion in the first degree,F,E,Misc,T,
'250.45(2),surreptitious surveillanc for sexual gratification,F,E,Sex Offense,F,
'1192.1,Driving while ability impaired,NA,NA,Vehicle,F,
'VTL 1120,Drive on Right Side of Roadway,NA,NA,Vehicle,F,
'110-130.55,Sexual abuse in the third degree,M,B,Sex Offense,T,
'110-205.30,Resisting arrest,M,B,Misc,T,
'240.35,Loitering ,V,NA,Misc,F,
'110-215.15,Intimidating a victim or witness in the third degree,M,A,Misc,T,
'230.06,Patronizing a person for prostitution in the first degree,F,D,Sex Offense,F,
'10-133(C),Open carry of a knife ,V,NA,Weapons,F,
'205.16,Absconding from temporary release in the second degree,M,A,Misc,F,
'120.04-A,Aggravated vehicular assault,F,C,Vehicle,F,
'110-165.40,Criminal possession of stolen property in the fifth degree,M,B,Property,T,
'250.50,Unlawful surveillance in the first degree,F,D,Misc,F,
'1192.2,Driving while intoxicated,NA,NA,Vehicle,F,
'110-140.15,Criminal trespass in the second degree,M,B,Misc,T,
'245.01,Exposure of a person,V,NA,Sex Offense,F,
'VTL 1192E,NA,NA,NA,Vehicle,F,
'215.25,Tampering with a juror in the first degree,M,A,Misc,F,
'1192(6),NA,NA,NA,Vehicle,F,
'VTL 1220,Throwing Refuse,V,NA,Misc,F,
'GBL 999.99,NA,NA,NA,General Business,F,
'178.10,Criminal diversion of prescription medications and prescriptions in the fourth degree,M,A,Narcotics,F,
'110-10-131(G1),Making a toy firearm look real,V,NA,Weapons,T,
'110-105.17,Conspiracy in the first degree,F,B,Misc,T,
'VTL 1128,Driving on Roadways Laned for Traffic,V,NA,Misc,F,
'110-205.25,Promoting prison contraband in the first degree,F,E,Misc,T,
'353-C,Electrocution of Fur-bearing Animals Prohibited,M,A,Misc,F,
'110-221.40,Criminal sale of marihuana in the fourth degree,M,B,Misc,T,
'240.45,Criminal nuisance in the second degree,M,B,Misc,F,
'110-130.35H,Rape in the first degree,F,C,Sex Offense,T,
'100.05,Criminal solicitation in the fourth degree,M,A,Misc,F,
'110-170.20,Criminal possession of a forged instrument in third degree,M,B,Misc,T,
'110-220.77,Operating asa Major Trafficker,F,B,Misc,T,
'110-105.05,Conspiracy in the fifth degree,M,B,Misc,T,
'110-490.20,Making a terroristic threat,F,E,Misc,T,
