Code,Offense,FMV,Class,Type,Attempted,Notes
'110-140.10,criminal trespass in the third degree,M,B,Misc,T,
'265.01A,Criminal possession of a weapon on school grounds,F,E,Weapons,F,
'156.27,Computer tampering in the first degree,F,C,Misc,F,
'509(2),NA,NA,NA,Misc,F,
'110-215.11,tampering with a witness in the third degree,M,A,Misc,T,
'110-263.15,promotion of a sexual performance by a child,F,E,Sex Offense,T,
'240.72,Aggravated interference with health care services in the second degree,F,E,Misc,F,
'160.15SM,Robbery in the first degree,F,B,Property,F,
'110-235.21,Disseminating indecent material to minors in the second degree,F,E,Sex Offense,T,
'VTL 1192V,NA,NA,NA,Vehicle,F,
'1180(A),Speeding ,NA,NA,Vehicle,F,
'426,NA,NA,NA,Misc,F,
'260.20,Unlawfully dealing with a child in the first degree,M,A ,Misc,F,
'VTL 600M,Leaving  scene  of  an  incident without reporting,NA,NA,Vehicle,F,
'110-145.10,Criminal Mischief in the Second Degree,F,E ,Misc,T,
'VTL 1192.1B,NA,NA,NA,Vehicle,F,
'110-125.45,Abortion in the first degree,F,E,Misc,T,
'158.50,Criminal possession of a public benefits card in the first degree,F,C,Property,F,
'110-490.40,Criminal possession of a chemical weapon or biological weapon in the second degree,F,B,Weapons,T,
'200.25,receiving reward for official misconduct in the second degree,F,E,Misc,F,
'1192.1B,NA,NA,NA,Vehicle,F,
'110-165.15,Theft of services,M,B,Misc,T,
'165.17,"Unlawful use of a credit card, debit card, or public benefit card",M,A,Property,F,
'VTL 319A,NA,NA,NA,Vehicle,F,
'509(7),NA,NA,NA,Misc,F,
'145.45,Tampering with a consumer product in the first degree,F,E,Property,F,
'120.35,Promoting a suicide attempt,NA,NA,Misc,F,
'240.36,Loitering in the first degree,M,B,Misc,F,
'240.06,Riot in the first degree,F,E,Misc,F,
'235.21,Disseminating indecent material to minors in the second degree,F,E,Sex Offense,F,
'110-120.20,Reckless endangerment in the second degree,M,B,Misc,T,
'1220,Literring,V,NA,Misc,F,
'ABC 999.99,NA,NA,NA,Misc,F,
'205.19,Absconding from a community treatmet facility,F,E,Misc,F,
'110-135.60,Coercion in the third degree,M,B,Misc,T,
'110-140.35,Possession of burgalr's tools,M,B,Misc,T,
'105.10H,Conspiracy in the fourth degree,F,E,Misc,F,
'110-176.20,Insurance Fraud in the third degree,F,E,Misc,T,
'260.34,Endangering the welfare of a vulnerable eldery person or an incompetent or physicaly disabled person in the first degree,F,D,Misc,F,
'110-135.05,Unlawful impisonment in the second degree,M,B,Misc,T,
'110-205.05,Escape in the third degree,M,B,Misc,T,
'190.50,Unlawful collection practices,M,B,Misc,F,
'156.05,Unauthorized use of a computer,M,A,Misc,F,
'110-215.56,Bail Jumping in the Second Degree,M,A,Misc,T,
'120.00,Assault in the third degree,M,A,Violent,F,
'145.00,Criminal mischief in the fourth degree,M,A,Misc,F,
'115.00,Criminal facilitation in the fourth degree,M,A,Misc,F,
'245.00,Public lewdness,M,B,Misc,F,
'230.00,Prostitution,M,B,Misc,F,
'200.00,Bribery in the third degree,F,D,Misc,F,
'1192.3,NA,NA,NA,Vehicle,F,
'509.00,NA,NA,NA,Misc,F,
'260.00,Abandonment of a child,F,E,Misc,F,
'410.4,NA,NA,NA,Misc,F,
